topicId,topicTitle,shotId,name,shotSize,cameraAngle,cameraMovement,composition,lens,posePrompt,lighting,purpose,referenceIds,executionNote
"cafe-daily","咖啡馆日常写真","cafe-daily-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","拿杯低头笑","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-pose-站立持花-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"cafe-daily","咖啡馆日常写真","cafe-daily-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","翻书侧脸","逆光/轮廓光","抓眼神、手部和情绪细节","doc-摄影姿势库-汉服-室内汉服-pose-侧坐案前-md；doc-摄影姿势库-姿势示意图-readme-真实参考-md；doc-摄影姿势库-汉服-园林汉服-pose-站立持花-md；pose-回眸侧身-条目-3-3","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"urban-night","城市夜景电影感","urban-night-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","边走边回头","顺光/环境光","交代街道和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"urban-night","城市夜景电影感","urban-night-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","靠墙看远处","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；00-笔记索引-如何在光影下拍出动感大片-22；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"urban-night","城市夜景电影感","urban-night-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","低头整理衣领","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-姿势示意图-readme-真实参考-md；huaban；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"video-vlog-cinematic","Vlog/短视频电影感","video-vlog-cinematic-shot-1","建立环境","long-shot","平视或略低机位","travelling-in","foreground-background-layering","24-35mm","走路跟拍","顺光/环境光","交代街道和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"video-vlog-cinematic","Vlog/短视频电影感","video-vlog-cinematic-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","推拉转场","侧光/窗边光","稳定出片，保证脸部和服装信息","00-小红书收藏-视频拍摄专辑-别再乱拍空镜-这才是电影感正确拍法-4；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；00-笔记索引-大疆稳定器使用技巧-15；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"video-vlog-cinematic","Vlog/短视频电影感","video-vlog-cinematic-shot-3","情绪特写","close-up","略高或侧逆光","handheld","saliency-focus","50-85mm","回头看镜头","逆光/轮廓光","抓眼神、手部和情绪细节","00-笔记索引-大疆稳定器使用技巧-15；doc-摄影姿势库-姿势示意图-readme-真实参考-md；huaban；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"couple-city-story","城市情侣故事感","couple-city-story-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","并肩走路聊天","顺光/环境光","交代街角和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"couple-city-story","城市情侣故事感","couple-city-story-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","一前一后回头","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"couple-city-story","城市情侣故事感","couple-city-story-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","靠肩看远处","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-姿势示意图-readme-真实参考-md；huaban；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"beach-sunset","海边日落人像","beach-sunset-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","迎风走动","顺光/环境光","交代沙滩和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；小清新少女风拍摄手册-条目-2-2","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"beach-sunset","海边日落人像","beach-sunset-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","提裙回头","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；00-小红书收藏-拍摄专辑-学到了-海边拍照氛围感万能出片技巧-2","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"beach-sunset","海边日落人像","beach-sunset-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","坐礁石侧身","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-姿势示意图-readme-真实参考-md；00-笔记索引-学到了-海边拍照氛围感-万能出片技巧-19；pose-回眸侧身-条目-3-3","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"indoor-moody-window","室内窗边情绪人像","indoor-moody-window-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","侧坐看窗外","顺光/环境光","交代窗边和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-汉服-室内汉服-00-室内汉服姿势库-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"indoor-moody-window","室内窗边情绪人像","indoor-moody-window-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","手扶脸颊","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-室内汉服-00-室内汉服姿势库-md；00-室内汉服姿势库-倚栏远眺-2","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"indoor-moody-window","室内窗边情绪人像","indoor-moody-window-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","倚墙低头","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；00-室内汉服姿势库-倚栏远眺-2；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"sports-dynamic","运动感动态写真","sports-dynamic-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","冲刺起步","顺光/环境光","交代运动场和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"sports-dynamic","运动感动态写真","sports-dynamic-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","跳跃定格","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；小清新少女风拍摄手册-走楼梯-46；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"sports-dynamic","运动感动态写真","sports-dynamic-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","系鞋带低头","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-姿势示意图-readme-真实参考-md；huaban；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"brand-editorial","品牌商业人像","brand-editorial-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","正面强视线","顺光/环境光","交代影棚和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"brand-editorial","品牌商业人像","brand-editorial-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","侧身展示服装","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；huaban；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"brand-editorial","品牌商业人像","brand-editorial-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","手持产品","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-姿势示意图-readme-真实参考-md；00-小红书收藏-拍摄专辑-存一些拍花技巧-9个万能构图技巧-姿势-12；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"wedding-documentary","婚礼纪实故事","wedding-documentary-shot-1","建立环境","long-shot","平视或略低机位","static","foreground-background-layering","24-35mm","整理头纱","顺光/环境光","交代准备房间和人物关系","doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；pose-侧坐案前-条目-5-5；doc-摄影姿势库-拍摄指南-小清新少女风拍摄手册-md","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"wedding-documentary","婚礼纪实故事","wedding-documentary-shot-2","主体半身","medium-shot","平视，略侧 30 度","static","rule-of-thirds","35-50mm","交换戒指","侧光/窗边光","稳定出片，保证脸部和服装信息","doc-摄影姿势库-汉服-园林汉服-00-园林汉服姿势库-md；doc-摄影姿势库-汉服-园林汉服-pose-回眸侧身-md；huaban；00-笔记索引-如何在光影下拍出动感大片-22","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
"wedding-documentary","婚礼纪实故事","wedding-documentary-shot-3","情绪特写","close-up","略高或侧逆光","static","saliency-focus","50-85mm","父母拥抱","逆光/轮廓光","抓眼神、手部和情绪细节","pose-回眸侧身-条目-1-1；doc-摄影姿势库-姿势示意图-readme-真实参考-md；00-小红书收藏-拍摄专辑-存一些拍花技巧-9个万能构图技巧-姿势-12；00-笔记索引-阳光下的活人感大片-24","这一镜只使用拍摄角度/姿势/构图/光线槽位的素材，不混用 LUT 或文案素材。"
