id,title,kind,category,platform,sourceUrl,sourceFile,author,tags,summary,materialUrls,searchQueries,applicableScene,applicableSubject,replicability,shootingRisk,coreFocus,priceTier,worth,whyWorth,licenseClass,shotSizeNormalized,cameraMovement,compositionNormalized,workflowStage,seoTitle,seoKeywords,usageNote,status,priority
"00-姿势库总览-条目-2-2","条目 2","obsidian_table_row","姿势/引导","Obsidian","","摄影姿势库/00_姿势库总览.md","","姿势库；索引；拍照参考","需要一定肢体控制","","条目 2 姿势/引导 姿势库 索引 拍照参考；条目 2 摄影参考；姿势/引导 人像拍摄；姿势库 索引 拍照参考 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导","199-399","中","适合作为检索补充或局部灵感。","local-private-reference","medium-shot","static","saliency-focus","shot-planning","条目 2 - 姿势/引导摄影参考","条目 2；姿势/引导；姿势库；索引；拍照参考；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-姿势库总览-条目-3-3","条目 3","obsidian_table_row","姿势/引导","Obsidian","","摄影姿势库/00_姿势库总览.md","","姿势库；索引；拍照参考","适合有经验的模特/摄影师","","条目 3 姿势/引导 姿势库 索引 拍照参考；条目 3 摄影参考；姿势/引导 人像拍摄；姿势库 索引 拍照参考 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导","199-399","中","适合作为检索补充或局部灵感。","local-private-reference","medium-shot","static","saliency-focus","shot-planning","条目 3 - 姿势/引导摄影参考","条目 3；姿势/引导；姿势库；索引；拍照参考；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"doc-摄影姿势库-00-小红书收藏-拍摄专辑-md","小红书收藏 - 拍摄专辑","obsidian_note","视频拍摄","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；生命力；海边；毕业照；新中式；花海；汉服；旗袍；构图","小红书收藏 拍摄专辑 来源：RoKing📷 的小红书收藏夹 拍摄专辑 共 69 个收藏，按类型分类整理 📸 拍照姿势类 标题 类型标签 存一些生命力溢出屏幕的拍照姿势 🏔️ 生命力 学到了！海边拍照氛围感万能出片技巧 海边/氛围 🍃青春胶片感单人毕业照🎓i人拍照姿势合集 毕业照 新中式拍照姿势大全 新中式 存一组五一出行氛围感拍照姿势📸 出行 存","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","小红书收藏 - 拍摄专辑 视频拍摄 收藏 拍摄 小红书 摄影参考 生命力 海边 毕业照 新中式 花海 汉服 旗袍 构图；小红书收藏 - 拍摄专辑 摄影参考；视频拍摄 人像拍摄；收藏 拍摄 小红书 pose reference","海边/沙滩","毕业生/学生","中等","天气和光线不稳定；需要控光或合适时段；妆造/服装/道具影响很大；需要运动镜头和剪辑配合；需要场地许可或低打扰拍摄","姿势引导；构图镜头；色彩后期；光线氛围；发布表达","699+/商业单","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","close-up","travelling-in","saliency-focus","review","小红书收藏 - 拍摄专辑 - 视频拍摄摄影参考","小红书收藏 - 拍摄专辑；视频拍摄；收藏；拍摄；小红书；摄影参考；生命力；海边；毕业照；新中式；花海；汉服","从 Obsidian 笔记抽取，可作为拍摄方案和参考检索的源材料。","待复核链接","中"
"00-小红书收藏-拍摄专辑-存一些生命力溢出屏幕的拍照姿势-1","存一些生命力溢出屏幕的拍照姿势 🏔️","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；生命力","生命力","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一些生命力溢出屏幕的拍照姿势 🏔️ 姿势/引导 收藏 拍摄 小红书 摄影参考 生命力；存一些生命力溢出屏幕的拍照姿势 🏔️ 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一些生命力溢出屏幕的拍照姿势 🏔️ - 姿势/引导摄影参考","存一些生命力溢出屏幕的拍照姿势 🏔️；姿势/引导；收藏；拍摄；小红书；摄影参考；生命力；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","高"
"00-小红书收藏-拍摄专辑-学到了-海边拍照氛围感万能出片技巧-2","学到了！海边拍照氛围感万能出片技巧","obsidian_table_row","构图/技巧","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；海边","海边/氛围","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","学到了！海边拍照氛围感万能出片技巧 构图/技巧 收藏 拍摄 小红书 摄影参考 海边；学到了！海边拍照氛围感万能出片技巧 摄影参考；构图/技巧 人像拍摄；收藏 拍摄 小红书 pose reference","海边/沙滩","单人女生/普通客片","中等","天气和光线不稳定","构图镜头；发布表达","99-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","学到了！海边拍照氛围感万能出片技巧 - 构图/技巧摄影参考","学到了！海边拍照氛围感万能出片技巧；构图/技巧；收藏；拍摄；小红书；摄影参考；海边；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-青春胶片感单人毕业照-i人拍照姿势合集-3","🍃青春胶片感单人毕业照🎓i人拍照姿势合集","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；毕业照；胶片","毕业照","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","🍃青春胶片感单人毕业照🎓i人拍照姿势合集 姿势/引导 收藏 拍摄 小红书 摄影参考 毕业照 胶片；🍃青春胶片感单人毕业照🎓i人拍照姿势合集 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","校园/毕业季","毕业生/学生","容易","常规沟通和审美匹配风险","姿势引导；色彩后期；发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","🍃青春胶片感单人毕业照🎓i人拍照姿势合集 - 姿势/引导摄影参考","🍃青春胶片感单人毕业照🎓i人拍照姿势合集；姿势/引导；收藏；拍摄；小红书；摄影参考；毕业照；胶片；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-新中式拍照姿势大全-4","新中式拍照姿势大全","obsidian_table_row","国风/汉服","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；新中式","新中式","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","新中式拍照姿势大全 国风/汉服 收藏 拍摄 小红书 摄影参考 新中式；新中式拍照姿势大全 摄影参考；国风/汉服 人像拍摄；收藏 拍摄 小红书 pose reference","园林/古风室内","汉服模特","中等","妆造/服装/道具影响很大","姿势引导；发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","新中式拍照姿势大全 - 国风/汉服摄影参考","新中式拍照姿势大全；国风/汉服；收藏；拍摄；小红书；摄影参考；新中式；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-存一组五一出行氛围感拍照姿势-5","存一组五一出行氛围感拍照姿势📸","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","出行","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一组五一出行氛围感拍照姿势📸 姿势/引导 收藏 拍摄 小红书 摄影参考；存一组五一出行氛围感拍照姿势📸 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一组五一出行氛围感拍照姿势📸 - 姿势/引导摄影参考","存一组五一出行氛围感拍照姿势📸；姿势/引导；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-存一些浪漫生命力拍照姿势-明媚而自由-6","存一些浪漫生命力拍照姿势！明媚而自由","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；生命力","生命力","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一些浪漫生命力拍照姿势！明媚而自由 姿势/引导 收藏 拍摄 小红书 摄影参考 生命力；存一些浪漫生命力拍照姿势！明媚而自由 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一些浪漫生命力拍照姿势！明媚而自由 - 姿势/引导摄影参考","存一些浪漫生命力拍照姿势！明媚而自由；姿势/引导；收藏；拍摄；小红书；摄影参考；生命力；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","高"
"00-小红书收藏-拍摄专辑-存一些适合春夏的捧花拍照姿势-7","存一些适合春夏的捧花拍照姿势","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","捧花","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一些适合春夏的捧花拍照姿势 姿势/引导 收藏 拍摄 小红书 摄影参考；存一些适合春夏的捧花拍照姿势 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一些适合春夏的捧花拍照姿势 - 姿势/引导摄影参考","存一些适合春夏的捧花拍照姿势；姿势/引导；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-超全的花海拍照姿势-自存-8","超全的花海拍照姿势（自存）","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；花海","花海","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","超全的花海拍照姿势（自存） 姿势/引导 收藏 拍摄 小红书 摄影参考 花海；超全的花海拍照姿势（自存） 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","花海/春夏外景","单人女生/普通客片","容易","天气和光线不稳定","姿势引导；发布表达","199-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","超全的花海拍照姿势（自存） - 姿势/引导摄影参考","超全的花海拍照姿势（自存）；姿势/引导；收藏；拍摄；小红书；摄影参考；花海；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-存一组毕业拍照姿势-谁拍谁好看-9","存一组毕业拍照姿势/谁拍谁好看","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；毕业照","毕业照","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一组毕业拍照姿势/谁拍谁好看 姿势/引导 收藏 拍摄 小红书 摄影参考 毕业照；存一组毕业拍照姿势/谁拍谁好看 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","校园/毕业季","毕业生/学生","容易","常规沟通和审美匹配风险","姿势引导；发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一组毕业拍照姿势/谁拍谁好看 - 姿势/引导摄影参考","存一组毕业拍照姿势/谁拍谁好看；姿势/引导；收藏；拍摄；小红书；摄影参考；毕业照；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-毕业照这样拍太好看了吧-10","毕业照这样拍太好看了吧！","obsidian_table_row","综合参考","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；毕业照","毕业照","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","毕业照这样拍太好看了吧！ 综合参考 收藏 拍摄 小红书 摄影参考 毕业照；毕业照这样拍太好看了吧！ 摄影参考；综合参考 人像拍摄；收藏 拍摄 小红书 pose reference","校园/毕业季","毕业生/学生","中等","常规沟通和审美匹配风险","发布表达","399-699","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","inspiration","毕业照这样拍太好看了吧！ - 综合参考摄影参考","毕业照这样拍太好看了吧！；综合参考；收藏；拍摄；小红书；摄影参考；毕业照；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-存一些梧桐树拍照姿势-11","存一些梧桐树拍照姿势📸","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","树木","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一些梧桐树拍照姿势📸 姿势/引导 收藏 拍摄 小红书 摄影参考；存一些梧桐树拍照姿势📸 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一些梧桐树拍照姿势📸 - 姿势/引导摄影参考","存一些梧桐树拍照姿势📸；姿势/引导；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
"00-小红书收藏-拍摄专辑-存一些拍花技巧-9个万能构图技巧-姿势-12","存一些拍花技巧📷 9个万能构图技巧➕姿势","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考；构图","花/构图","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","存一些拍花技巧📷 9个万能构图技巧➕姿势 姿势/引导 收藏 拍摄 小红书 摄影参考 构图；存一些拍花技巧📷 9个万能构图技巧➕姿势 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；构图镜头；发布表达","199-399","高","可直接转化为拍摄选题、姿势引导或成片风格参考。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","存一些拍花技巧📷 9个万能构图技巧➕姿势 - 姿势/引导摄影参考","存一些拍花技巧📷 9个万能构图技巧➕姿势；姿势/引导；收藏；拍摄；小红书；摄影参考；构图；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","高"
"00-小红书收藏-拍摄专辑-蔷薇花拍照姿势大合集-13","蔷薇花拍照姿势大合集","obsidian_table_row","姿势/引导","小红书/Obsidian","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","摄影姿势库/00_小红书收藏_拍摄专辑.md","","收藏；拍摄；小红书；摄影参考","花","https://www.xiaohongshu.com/board/69f468d9000000003302dc4c","蔷薇花拍照姿势大合集 姿势/引导 收藏 拍摄 小红书 摄影参考；蔷薇花拍照姿势大合集 摄影参考；姿势/引导 人像拍摄；收藏 拍摄 小红书 pose reference","通用人像场景","单人女生/普通客片","容易","常规沟通和审美匹配风险","姿势引导；发布表达","199-399","中","适合作为检索补充或局部灵感。","platform-link-only","medium-shot","static","saliency-focus","shot-planning","蔷薇花拍照姿势大合集 - 姿势/引导摄影参考","蔷薇花拍照姿势大合集；姿势/引导；收藏；拍摄；小红书；摄影参考；人像摄影；拍摄姿势；moodboard","从 Obsidian 表格抽取；建议复核原链接后补充作品截图、视频链接和授权备注。","待复核","中"
